"Name","ReleaseDate","Genre","Rating"
"1.TheGodfather(1972)","(1972)","Crime, Drama            ","9.2"
"2.TheShawshankRedemption(1994)","(1994)","Drama            ","9.3"
"3.CitizenKane(1941)","(1941)","Drama, Mystery            ","8.3"
"4.StarWars:EpisodeV-TheEmpireStrikesBack(1980)","(1980)","Action, Adventure, Fantasy            ","8.7"
"5.TheLordoftheRings:TheReturnoftheKing(2003)","(2003)","Adventure, Drama, Fantasy            ","8.9"
"6.TheDarkKnight(2008)","(2008)","Action, Crime, Drama            ","9"
"7.12AngryMen(1957)","(1957)","Drama            ","8.9"
"8.Schindler'sList(1993)","(1993)","Biography, Drama, History            ","8.9"
"9.Ilbuono,ilbrutto,ilcattivo(1966)","(1966)","Western            ","8.8"
"10.TheGodfather:PartII(1974)","(1974)","Crime, Drama            ","9"
"11.PulpFiction(1994)","(1994)","Crime, Drama            ","8.9"
"12.FightClub(1999)","(1999)","Drama            ","8.8"
"13.Psycho(1960)","(1960)","Horror, Mystery, Thriller            ","8.5"
"14.2001:ASpaceOdyssey(1968)","(1968)","Adventure, Sci-Fi            ","8.3"
"15.Metropolis(1927)","(1927)","Drama, Sci-Fi            ","8.3"
"16.StarWars(1977)","(1977)","Action, Adventure, Fantasy            ","8.6"
"17.TheLordoftheRings:TheFellowshipoftheRing(2001)","(2001)","Action, Adventure, Drama            ","8.8"
"18.Terminator2:JudgmentDay(1991)","(1991)","Action, Sci-Fi            ","8.5"
"19.TheMatrix(1999)","(1999)","Action, Sci-Fi            ","8.7"
"20.RaidersoftheLostArk(1981)","(1981)","Action, Adventure            ","8.4"
"21.Casablanca(1942)","(1942)","Drama, Romance, War            ","8.5"
"22.TheWizardofOz(1939)","(1939)","Adventure, Family, Fantasy            ","8"
"23.Shichininnosamurai(1954)","(1954)","Action, Adventure, Drama            ","8.6"
"24.ForrestGump(1994)","(1994)","Drama, Romance            ","8.8"
"25.Inception(2010)","(2010)","Action, Adventure, Sci-Fi            ","8.8"
